"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.0721,-9.8979e-05,2.6477e-15,0.52896,1,0.99932,0.99932,0,0
1.0725,-9.8619e-05,3.7668e-15,0.52858,1,1.0053,1.0053,0,0
1.0728,-9.8263e-05,4.8507e-15,0.5282,1,1.0114,1.0114,0,0
1.0732,-9.791e-05,4.2319e-15,0.52782,1,1.0174,1.0174,0,0
1.0735,-9.7561e-05,3.9788e-15,0.52744,1,1.0234,1.0234,0,0
1.0739,-9.7216e-05,5.2205e-15,0.52706,1,1.0294,1.0294,0,0
1.0742,-9.6875e-05,4.8425e-15,0.52669,1,1.0354,1.0354,0,0
1.0746,-9.6537e-05,3.9685e-15,0.52631,1,1.0415,1.0415,0,0
1.0749,-9.6202e-05,4.8105e-15,0.52594,1,1.0475,1.0475,0,0
1.0753,-9.5871e-05,5.1182e-15,0.52557,1,1.0535,1.0535,0,0
1.0756,-9.5543e-05,3.9016e-15,0.5252,1,1.0595,1.0595,0,0
1.0759,-9.5218e-05,4.2325e-15,0.52483,1,1.0655,1.0655,0,0
1.0763,-9.4897e-05,5.1142e-15,0.52446,1,1.0716,1.0716,0,0
1.0766,-9.4579e-05,4.1024e-15,0.52409,1,1.0776,1.0776,0,0
1.077,-9.4264e-05,3.7704e-15,0.52372,1,1.0836,1.0836,0,0
1.0773,-9.3952e-05,5.1203e-15,0.52336,1,1.0896,1.0896,0,0
1.0777,-9.3643e-05,4.6186e-15,0.52299,1,1.0956,1.0956,0,0
1.078,-9.3338e-05,3.7951e-15,0.52263,1,1.1017,1.1017,0,0
1.0783,-9.3035e-05,4.8031e-15,0.52227,1,1.1077,1.1077,0,0
1.0787,-9.2735e-05,4.8055e-15,0.52191,1,1.1137,1.1137,0,0
1.079,-9.2439e-05,4.1549e-15,0.52155,1,1.1197,1.1197,0,0
1.0793,-9.2145e-05,3.1699e-15,0.52119,1,1.1257,1.1257,0,0
1.0797,-9.1854e-05,3.915e-15,0.52083,1,1.1318,1.1318,0,0
1.08,-9.1566e-05,4.4449e-15,0.52047,1,1.1378,1.1378,0,0
1.0803,-9.128e-05,3.5376e-15,0.52012,1,1.1438,1.1438,0,0
1.0807,-9.0997e-05,3.5022e-15,0.51976,1,1.1498,1.1498,0,0
1.081,-9.0717e-05,4.5214e-15,0.51941,1,1.1558,1.1558,0,0
1.0813,-9.044e-05,4.0693e-15,0.51906,1,1.1619,1.1619,0,0
1.0816,-9.0165e-05,3.3363e-15,0.5187,1,1.1679,1.1679,0,0
1.082,-8.9893e-05,4.2384e-15,0.51835,1,1.1739,1.1739,0,0
1.0823,-8.9623e-05,4.1445e-15,0.518,1,1.1799,1.1799,0,0
1.0826,-8.9356e-05,3.1024e-15,0.51765,1,1.1859,1.1859,0,0
1.0829,-8.9092e-05,3.7778e-15,0.51731,1,1.192,1.192,0,0
1.0833,-8.8829e-05,4.2848e-15,0.51696,1,1.198,1.198,0,0
1.0836,-8.857e-05,3.3451e-15,0.51661,1,1.204,1.204,0,0
1.0839,-8.8312e-05,3.0604e-15,0.51627,1,1.21,1.21,0,0
1.0842,-8.8057e-05,4.1106e-15,0.51592,1,1.216,1.216,0,0
1.0845,-8.7805e-05,3.4908e-15,0.51558,1,1.2221,1.2221,0,0
1.0848,-8.7554e-05,2.939e-15,0.51524,1,1.2281,1.2281,0,0
1.0852,-8.7306e-05,3.9977e-15,0.5149,1,1.2341,1.2341,0,0
1.0855,-8.706e-05,3.3879e-15,0.51455,1,1.2401,1.2401,0,0
1.0858,-8.6817e-05,3.0556e-15,0.51421,1,1.2461,1.2461,0,0
1.0861,-8.6576e-05,2.4347e-15,0.51388,1,1.2522,1.2522,0,0
1.0864,-8.6337e-05,3.6354e-15,0.51354,1,1.2582,1.2582,0,0
1.0867,-8.6099e-05,3.9877e-15,0.5132,1,1.2642,1.2642,0,0
1.087,-8.5865e-05,2.7313e-15,0.51286,1,1.2702,1.2702,0,0
1.0874,-8.5632e-05,3.2997e-15,0.51253,1,1.2762,1.2762,0,0
1.0877,-8.5401e-05,3.7223e-15,0.51219,1,1.2823,1.2823,0,0
1.088,-8.5173e-05,2.7507e-15,0.51186,1,1.2883,1.2883,0,0
1.0883,-8.4946e-05,2.89e-15,0.51152,1,1.2943,1.2943,0,0
1.0886,-8.4721e-05,4.1675e-15,0.51119,1,1.3003,1.3003,0,0
1.0889,-8.4499e-05,3.4436e-15,0.51086,1,1.3063,1.3063,0,0
1.0892,-8.4279e-05,2.7545e-15,0.51053,1,1.3124,1.3124,0,0
1.0895,-8.406e-05,3.743e-15,0.5102,1,1.3184,1.3184,0,0
1.0898,-8.3843e-05,3.7818e-15,0.50987,1,1.3244,1.3244,0,0
1.0901,-8.3629e-05,2.4805e-15,0.50954,1,1.3304,1.3304,0,0
1.0904,-8.3416e-05,3.2861e-15,0.50921,1,1.3364,1.3364,0,0
1.0907,-8.3205e-05,3.7184e-15,0.50888,1,1.3425,1.3425,0,0
1.091,-8.2996e-05,4.2356e-15,0.50856,1,1.3485,1.3485,0,0
1.0913,-8.2789e-05,4.2622e-15,0.50823,1,1.3545,1.3545,0,0
1.0916,-8.2584e-05,5.1375e-15,0.50791,1,1.3605,1.3605,0,0
1.0919,-8.2381e-05,3.8118e-15,0.50758,1,1.3665,1.3665,0,0
1.0922,-8.2179e-05,3.1661e-15,0.50726,1,1.3726,1.3726,0,0
1.0925,-8.198e-05,2.9809e-15,0.50694,1,1.3786,1.3786,0,0
1.0928,-8.1782e-05,3.6324e-15,0.50661,1,1.3846,1.3846,0,0
1.0931,-8.1586e-05,4.0776e-15,0.50629,1,1.3906,1.3906,0,0
1.0934,-8.1392e-05,4.5704e-15,0.50597,1,1.3966,1.3966,0,0
1.0937,-8.1199e-05,4.9558e-15,0.50565,1,1.4027,1.4027,0,0
1.094,-8.1009e-05,4.9862e-15,0.50533,1,1.4087,1.4087,0,0
1.0943,-8.082e-05,3.3748e-15,0.50501,1,1.4147,1.4147,0,0
1.0946,-8.0633e-05,3.811e-15,0.50469,1,1.4207,1.4207,0,0
1.0948,-8.0448e-05,4.2698e-15,0.50438,1,1.4267,1.4267,0,0
1.0951,-8.0264e-05,3.1661e-15,0.50406,1,1.4328,1.4328,0,0
1.0954,-8.0082e-05,2.9459e-15,0.50374,1,1.4388,1.4388,0,0
1.0957,-7.9902e-05,3.7473e-15,0.50343,1,1.4448,1.4448,0,0
1.096,-7.9724e-05,3.5109e-15,0.50311,1,1.4508,1.4508,0,0
